"CustID","Churn (0/1)","RFM-Score","P[B]","RFM Resp Prob"
71,0,11,0.555555555555556,0.263759086188993
72,0,11,0.444444444444444,0.263759086188993
77,1,11,0.333333333333333,0.263759086188993
81,1,11,0.222222222222222,0.263759086188993
82,0,11,0.333333333333333,0.263759086188993
83,0,11,0.333333333333333,0.263759086188993
84,0,11,0.444444444444444,0.263759086188993
96,0,11,0.333333333333333,0.263759086188993
100,1,11,0.333333333333333,0.263759086188993
109,0,11,0.444444444444444,0.263759086188993
111,1,11,0.444444444444444,0.263759086188993
113,0,11,0.444444444444444,0.263759086188993
121,1,11,0.444444444444444,0.263759086188993
122,1,11,0.333333333333333,0.263759086188993
125,0,11,0.333333333333333,0.263759086188993
128,0,11,0.222222222222222,0.263759086188993
131,0,11,0.222222222222222,0.263759086188993
134,0,11,0.222222222222222,0.263759086188993
136,0,11,0.222222222222222,0.263759086188993
139,0,11,0.222222222222222,0.263759086188993
152,0,11,0.222222222222222,0.263759086188993
178,1,11,0.222222222222222,0.263759086188993
179,1,11,0.333333333333333,0.263759086188993
180,0,11,0.333333333333333,0.263759086188993
183,0,11,0.333333333333333,0.263759086188993
187,0,11,0.333333333333333,0.263759086188993
190,1,11,0.222222222222222,0.263759086188993
191,0,11,0.111111111111111,0.263759086188993
192,0,11,0.111111111111111,0.263759086188993
193,0,11,0.111111111111111,0.263759086188993
198,0,11,0.111111111111111,0.263759086188993
201,0,11,0,0.263759086188993
202,0,11,0,0.263759086188993
204,0,11,0,0.263759086188993
239,0,11,0.111111111111111,0.263759086188993
246,0,11,0.111111111111111,0.263759086188993
256,0,11,0.111111111111111,0.263759086188993
257,0,11,0.111111111111111,0.263759086188993
264,1,11,0.111111111111111,0.263759086188993
265,0,11,0.111111111111111,0.263759086188993
269,0,11,0.111111111111111,0.263759086188993
271,0,11,0.111111111111111,0.263759086188993
274,0,11,0.111111111111111,0.263759086188993
275,0,11,0,0.263759086188993
292,0,11,0.111111111111111,0.263759086188993
296,0,11,0.111111111111111,0.263759086188993
304,0,11,0.111111111111111,0.263759086188993
307,0,11,0.111111111111111,0.263759086188993
322,1,11,0.111111111111111,0.263759086188993
342,0,11,0.111111111111111,0.263759086188993
360,0,11,0.111111111111111,0.263759086188993
364,0,11,0.111111111111111,0.263759086188993
367,0,11,0.111111111111111,0.263759086188993
396,0,11,0,0.263759086188993
399,0,11,0,0.263759086188993
403,0,11,0,0.263759086188993
439,0,11,0,0.263759086188993
440,0,11,0,0.263759086188993
445,0,11,0.111111111111111,0.263759086188993
449,0,11,0.222222222222222,0.263759086188993
516,0,11,0.222222222222222,0.263759086188993
526,0,11,0.333333333333333,0.263759086188993
531,1,11,0.333333333333333,0.263759086188993
532,1,11,0.444444444444444,0.263759086188993
534,0,11,0.555555555555556,0.263759086188993
536,1,11,0.555555555555556,0.263759086188993
548,0,11,0.555555555555556,0.263759086188993
550,1,11,0.444444444444444,0.263759086188993
553,1,11,0.333333333333333,0.263759086188993
554,0,11,0.333333333333333,0.263759086188993
555,0,11,0.333333333333333,0.263759086188993
557,0,11,0.444444444444444,0.263759086188993
558,0,11,0.333333333333333,0.263759086188993
567,0,11,0.222222222222222,0.263759086188993
569,1,11,0.222222222222222,0.263759086188993
576,1,11,0.222222222222222,0.263759086188993
580,0,11,0.222222222222222,0.263759086188993
593,0,11,0.222222222222222,0.263759086188993
598,0,11,0.222222222222222,0.263759086188993
599,0,11,0.111111111111111,0.263759086188993
602,0,11,0,0.263759086188993
621,0,11,0,0.263759086188993
626,0,11,0,0.263759086188993
637,0,11,0.111111111111111,0.263759086188993
642,0,11,0.111111111111111,0.263759086188993
644,0,11,0.111111111111111,0.263759086188993
656,0,11,0.111111111111111,0.263759086188993
670,1,11,0.111111111111111,0.263759086188993
671,0,11,0.111111111111111,0.263759086188993
673,0,11,0.222222222222222,0.263759086188993
674,0,11,0.222222222222222,0.263759086188993
675,0,11,0.222222222222222,0.263759086188993
678,0,11,0.111111111111111,0.263759086188993
681,1,11,0.111111111111111,0.263759086188993
720,0,11,0.111111111111111,0.263759086188993
199,0,10,0.111111111111111,0.117117117117117
206,0,10,0.111111111111111,0.117117117117117
209,0,10,0.111111111111111,0.117117117117117
235,0,10,0.111111111111111,0.117117117117117
258,0,10,0.111111111111111,0.117117117117117
283,0,10,0.111111111111111,0.117117117117117
285,0,10,0.111111111111111,0.117117117117117
289,1,10,0.111111111111111,0.117117117117117
294,0,10,0.222222222222222,0.117117117117117
295,0,10,0.222222222222222,0.117117117117117
297,0,10,0.222222222222222,0.117117117117117
305,0,10,0.222222222222222,0.117117117117117
306,1,10,0.222222222222222,0.117117117117117
311,0,10,0.222222222222222,0.117117117117117
320,0,10,0.222222222222222,0.117117117117117
331,0,10,0.222222222222222,0.117117117117117
334,1,10,0.222222222222222,0.117117117117117
338,0,10,0.111111111111111,0.117117117117117
343,0,10,0.111111111111111,0.117117117117117
353,0,10,0.111111111111111,0.117117117117117
361,0,10,0.111111111111111,0.117117117117117
365,0,10,0,0.117117117117117
377,0,10,0,0.117117117117117
386,0,10,0,0.117117117117117
390,0,10,0.111111111111111,0.117117117117117
405,0,10,0.111111111111111,0.117117117117117
428,0,10,0.111111111111111,0.117117117117117
559,0,10,0.111111111111111,0.117117117117117
577,1,10,0.111111111111111,0.117117117117117
579,0,10,0.111111111111111,0.117117117117117
624,0,10,0.111111111111111,0.117117117117117
638,0,10,0.111111111111111,0.117117117117117
643,0,10,0.111111111111111,0.117117117117117
660,0,10,0,0.117117117117117
661,0,10,0,0.117117117117117
679,0,10,0,0.117117117117117
687,0,10,0,0.117117117117117
6,0,9,0,0.244444444444444
48,0,9,0,0.244444444444444
49,0,9,0.111111111111111,0.244444444444444
50,0,9,0.222222222222222,0.244444444444444
68,0,9,0.222222222222222,0.244444444444444
74,0,9,0.222222222222222,0.244444444444444
75,1,9,0.222222222222222,0.244444444444444
76,1,9,0.333333333333333,0.244444444444444
78,0,9,0.444444444444444,0.244444444444444
79,0,9,0.444444444444444,0.244444444444444
80,0,9,0.444444444444444,0.244444444444444
99,1,9,0.333333333333333,0.244444444444444
130,1,9,0.222222222222222,0.244444444444444
133,0,9,0.333333333333333,0.244444444444444
140,0,9,0.333333333333333,0.244444444444444
143,0,9,0.333333333333333,0.244444444444444
144,0,9,0.333333333333333,0.244444444444444
146,1,9,0.222222222222222,0.244444444444444
147,0,9,0.333333333333333,0.244444444444444
148,0,9,0.333333333333333,0.244444444444444
149,1,9,0.333333333333333,0.244444444444444
150,0,9,0.333333333333333,0.244444444444444
181,1,9,0.222222222222222,0.244444444444444
182,0,9,0.222222222222222,0.244444444444444
188,0,9,0.333333333333333,0.244444444444444
195,0,9,0.222222222222222,0.244444444444444
207,0,9,0.222222222222222,0.244444444444444
228,0,9,0.111111111111111,0.244444444444444
243,1,9,0.222222222222222,0.244444444444444
259,0,9,0.222222222222222,0.244444444444444
261,0,9,0.222222222222222,0.244444444444444
263,0,9,0.222222222222222,0.244444444444444
266,1,9,0.222222222222222,0.244444444444444
272,0,9,0.111111111111111,0.244444444444444
276,0,9,0.111111111111111,0.244444444444444
278,0,9,0.111111111111111,0.244444444444444
325,0,9,0.222222222222222,0.244444444444444
327,0,9,0.111111111111111,0.244444444444444
330,0,9,0.111111111111111,0.244444444444444
332,0,9,0.111111111111111,0.244444444444444
333,1,9,0.222222222222222,0.244444444444444
340,0,9,0.222222222222222,0.244444444444444
357,0,9,0.222222222222222,0.244444444444444
363,0,9,0.222222222222222,0.244444444444444
370,1,9,0.222222222222222,0.244444444444444
374,0,9,0.222222222222222,0.244444444444444
389,0,9,0.222222222222222,0.244444444444444
402,0,9,0.222222222222222,0.244444444444444
426,0,9,0.222222222222222,0.244444444444444
433,1,9,0.222222222222222,0.244444444444444
436,0,9,0.222222222222222,0.244444444444444
466,0,9,0.222222222222222,0.244444444444444
471,0,9,0.333333333333333,0.244444444444444
476,1,9,0.444444444444444,0.244444444444444
477,0,9,0.333333333333333,0.244444444444444
